# Reparto a mano de las preguntas del bloque específico de REALIZACIÓN
# —Realización Televisión, la ocupación tipo de grado, no la de Asistencia—.
#
# **Dos cuadernillos completos**: `66_preguntas_realizacion_a` y
# `68_preguntas_realizacion_b`, 120 preguntas cada uno, con sus dos plantillas
# oficiales. Es el segundo banco más grande del proyecto, detrás del de
# Realización (Asistencia).
#
# **Diez van al banco del bloque común** y las clasifica el script por su
# materia; **una más, la 73 del segundo llamamiento**, es del II Plan de
# Igualdad y va a mano en `reclasificadas.tsv`.
#
# **El bloque 1 del Anexo 2 —la cultura audiovisual— es lo que distingue a esta
# ocupación de Realización (Asistencia)**: música, televisión, artes escénicas,
# literatura, artes plásticas, fotografía y cine. Sus siete subpuntos se llevan
# **cuarenta preguntas** entre los dos llamamientos.
origen	numero	tema	motivo
66_preguntas_realizacion_a	1	14	Cuál NO es característica de una cámara PTZ
66_preguntas_realizacion_a	4	08	Robert McKee: la historia que progresa hasta el límite
66_preguntas_realizacion_a	5	20	Cómo se llama el montaje posterior a la grabación
66_preguntas_realizacion_a	6	15	Equipo para hacer un chroma en tiempo real
66_preguntas_realizacion_a	7	12	Estándar 4K UHDV con escala 16:9
66_preguntas_realizacion_a	8	12	Frecuencia de fps del sistema NTSC
66_preguntas_realizacion_a	9	11	En qué puesto es prioritario el monitor de grado 1
66_preguntas_realizacion_a	10	17	Qué significa el acrónimo FOH
66_preguntas_realizacion_a	11	18	Cámaras para la realización de una etapa de vuelta ciclista
66_preguntas_realizacion_a	12	07	Qué es un talk-show
66_preguntas_realizacion_a	13	20	Bin de Avid Media Composer en modo FRAME
66_preguntas_realizacion_a	14	16	En qué consiste la confusión tonal
66_preguntas_realizacion_a	15	18	Instalar una cámara en el desfile de las Fuerzas Armadas
66_preguntas_realizacion_a	16	18	Qué es el «Superflash» en un partido de fútbol
66_preguntas_realizacion_a	17	17	Qué diferencia a Dolby Atmos de otros sistemas envolventes
66_preguntas_realizacion_a	18	08	Qué es un logline
66_preguntas_realizacion_a	19	22	En qué siglo se acuñó el término copyright
66_preguntas_realizacion_a	20	12	Cómo se llama el tamaño físico de una imagen en píxeles
66_preguntas_realizacion_a	21	08	Primera fase plenamente literaria en cine
66_preguntas_realizacion_a	22	13	Qué es un barrido
66_preguntas_realizacion_a	23	08	El decoupage o guion técnico según Noël Burch
66_preguntas_realizacion_a	24	01	Qué es la escala diatónica
