# Reparto a mano de las preguntas del bloque específico de TÉCNICA DE EQUIPOS Y
# SISTEMAS ELECTRÓNICOS (TESE).
#
# **Dos cuadernillos de tamaño muy distinto**: el `70`, de 96 preguntas, y el
# `71`, que sus propias instrucciones describen como «30 preguntas (25
# principales más 5 de reserva)». No es un fallo de extracción: es un examen
# más corto, y se lee entero.
#
# De las 126, **8 son del bloque común** —Constitución, Ley 17/2006, Ley
# 13/2022, Convenio, Igualdad y Ley 31/1995— y **5 son del tema de prevención
# del específico**, que van en `reclasificadas.tsv`. Quedan **113** aquí.
#
# **Aviso capital de esta ocupación**: alrededor de **treinta preguntas
# dependen de una imagen** —un esquema de circuito, un símbolo de componente,
# una traza de osciloscopio, un monitor de forma de onda, una fotografía de
# conectores—. **Es, con mucha diferencia, la proporción más alta del
# proyecto.** Van declaradas una a una en su tema.
#
# origen	nº	tema	motivo
origen	numero	tema	motivo
70_preguntas_tese_a	28	01	Potencia consumida en una resistencia en relación al voltaje
70_preguntas_tese_a	31	01	Qué es el factor de potencia en corriente alterna
70_preguntas_tese_a	40	01	Qué ocurre con la tensión en un circuito en paralelo
70_preguntas_tese_a	59	01	Desfase entre las fases de un sistema trifásico
71_preguntas_tese_b	7	01	Tensión entre dos puntos de un circuito
71_preguntas_tese_b	26	01	Potencia que entrega una fuente con carga resistiva e inductiva
70_preguntas_tese_a	21	02	Capacitancia de un condensador a partir de la carga y el voltaje
70_preguntas_tese_a	26	02	Símbolo del diodo túnel
70_preguntas_tese_a	34	02	Símbolo del transistor NPN
70_preguntas_tese_a	44	02	Capacidad equivalente de una combinación de condensadores
70_preguntas_tese_a	60	02	Valores máximo y mínimo con un potenciómetro en sus extremos
70_preguntas_tese_a	61	02	Corriente por una resistencia leída por su código de colores
70_preguntas_tese_a	70	02	Tensión adquirida por un condensador al cabo de un segundo
70_preguntas_tese_a	74	02	Multiplicador rojo del código de colores
70_preguntas_tese_a	76	02	Corriente de colector de un transistor bipolar en región activa
70_preguntas_tese_a	82	02	A qué equivale el circuito de la figura
70_preguntas_tese_a	87	02	Ganancia en decibelios de un amplificador con transistor de beta 200
