# Reparto a mano de las preguntas del bloque específico de REALIZACIÓN (ASISTENCIA).
#
# **Dos cuadernillos**, los dos llamamientos de la misma prueba: el de 26 de
# octubre de 2024 y su segunda convocatoria. **120 preguntas cada uno** —100
# principales y 20 de reserva—, con las dos plantillas oficiales completas. Son
# **240 respuestas oficiales**, el banco más grande de todo el proyecto.
#
# Del primero, 105 preguntas son del específico y 15 del bloque común; del
# segundo, 106 y 14.
#
# **Cómo se reparte lo que el anexo repite.** El programa nombra dos veces los
# «soportes y formatos, tipos de archivo y códecs» —en el punto 4.10, dentro del
# mezclador, y en el 7.2, dentro de la postproducción— y dos veces el grafismo
# —4.11 y 7.3—. Las preguntas de contenedores, códecs y ficheros gráficos van
# **todas al tema 20**, y las de operación del mezclador al 10, para que un mismo
# concepto no se estudie en dos sitios con dos redacciones distintas.
#
# **Y dos preguntas se salen del programa**, marcadas en su motivo: la historia
# de la primera emisión televisada española y la entidad de gestión de derechos
# de autor. Ninguna de las dos materias está en el Anexo 2 de esta ocupación.
origen	numero	tema	motivo
60_preguntas_realizacion_asist	112	01	Historia de la televisión en España: no está en el Anexo 2 de esta ocupación
62_preguntas_realizacion_asist_2_llamamiento	21	01	Tratamiento del programa dramático: género televisivo
60_preguntas_realizacion_asist	3	02	El guion técnico y quién introduce las modificaciones de realización
60_preguntas_realizacion_asist	5	02	Las colas en el minutado de un telediario
60_preguntas_realizacion_asist	10	02	El minutado en iNews: qué significa el cambio de color
60_preguntas_realizacion_asist	11	02	Las tres premisas del guion
60_preguntas_realizacion_asist	19	02	La escaleta como pre-guion
60_preguntas_realizacion_asist	75	02	Avid iNews: qué es
60_preguntas_realizacion_asist	77	02	Quién transforma el guion literario en guion técnico
60_preguntas_realizacion_asist	99	02	El découpage técnico según Michel Chion
62_preguntas_realizacion_asist_2_llamamiento	12	02	Qué es la escaleta
62_preguntas_realizacion_asist_2_llamamiento	17	02	Qué es el guion técnico
62_preguntas_realizacion_asist_2_llamamiento	29	02	Qué es el minutado
62_preguntas_realizacion_asist_2_llamamiento	90	02	El plot de un guion
60_preguntas_realizacion_asist	40	03	El plan de trabajo de una grabación y su orden respecto del desglose
60_preguntas_realizacion_asist	93	03	El cronograma de trabajo de una producción
62_preguntas_realizacion_asist_2_llamamiento	7	03	El desglose: estudio del guion técnico que da lugar al plan de trabajo
62_preguntas_realizacion_asist_2_llamamiento	55	03	Criterio de ordenación de un plan de trabajo
60_preguntas_realizacion_asist	41	04	La planta de cámaras: qué documento es
60_preguntas_realizacion_asist	64	04	La perspectiva forzada
62_preguntas_realizacion_asist_2_llamamiento	71	04	Escala 1:100 en la planta de un decorado
60_preguntas_realizacion_asist	13	05	Autoestereoscopia en 3D
60_preguntas_realizacion_asist	18	05	Cómo se transmite la señal de TDT
60_preguntas_realizacion_asist	20	05	El monitor de forma de onda como herramienta de control en directo
60_preguntas_realizacion_asist	24	05	Televisión 4K: afirmación correcta
60_preguntas_realizacion_asist	26	05	Longitud de onda y color percibido
60_preguntas_realizacion_asist	27	05	El códec H.265 (HEVC)
60_preguntas_realizacion_asist	28	05	Por qué vemos verde un objeto: absorción y reflexión
60_preguntas_realizacion_asist	37	05	Amplitud de los espacios de color: Rec. 709, DCI P3, Rec. 2020, AP0
60_preguntas_realizacion_asist	42	05	Qué determina la relación de aspecto de la imagen captada
60_preguntas_realizacion_asist	62	05	Qué visualiza un vectorscopio
60_preguntas_realizacion_asist	63	05	Códec estándar de la emisión UHD en España
60_preguntas_realizacion_asist	70	05	Códec no válido para la compresión en 4K
60_preguntas_realizacion_asist	79	05	La entropía en compresión
60_preguntas_realizacion_asist	90	05	Composición de la señal de luminancia Y
60_preguntas_realizacion_asist	94	05	Compresión interframe
60_preguntas_realizacion_asist	95	05	Resolución de 4K UHD
60_preguntas_realizacion_asist	105	05	Espectro luminoso y saturación del color
60_preguntas_realizacion_asist	120	05	Imagen de 1 bit de profundidad de color
62_preguntas_realizacion_asist_2_llamamiento	20	05	Comprobar el vectorscopio con una señal en blanco y negro
62_preguntas_realizacion_asist_2_llamamiento	22	05	Modulación usada en la TDT
62_preguntas_realizacion_asist_2_llamamiento	24	05	El osciloscopio en la industria de televisión
62_preguntas_realizacion_asist_2_llamamiento	28	05	El rango dinámico y la calidad de imagen
62_preguntas_realizacion_asist_2_llamamiento	36	05	Frecuencia de muestreo 4:2:2
62_preguntas_realizacion_asist_2_llamamiento	54	05	Los tres procesos de la digitalización y su orden
62_preguntas_realizacion_asist_2_llamamiento	59	05	De qué se encargan los rasterizadores
62_preguntas_realizacion_asist_2_llamamiento	61	05	Rango legal de una señal de vídeo de 8 bits
62_preguntas_realizacion_asist_2_llamamiento	64	05	El estándar PQ en HDR
62_preguntas_realizacion_asist_2_llamamiento	66	05	Imagen de 1 bit de profundidad de color
62_preguntas_realizacion_asist_2_llamamiento	85	05	Relación de aspecto del formato 16:9
62_preguntas_realizacion_asist_2_llamamiento	87	05	Aliasing: patrones de interferencia en detalles finos
62_preguntas_realizacion_asist_2_llamamiento	88	05	Letterboxing
62_preguntas_realizacion_asist_2_llamamiento	89	05	Sistema de color por brillo, matiz y saturación
62_preguntas_realizacion_asist_2_llamamiento	105	05	Forma de transmisión de la señal de TDT
62_preguntas_realizacion_asist_2_llamamiento	106	05	Códec estándar de la emisión UHD en España
60_preguntas_realizacion_asist	7	06	Los escorzos en los debates televisivos
60_preguntas_realizacion_asist	9	06	Ejes de miradas en una conversación entre cuatro personas
60_preguntas_realizacion_asist	12	06	Peso visual según la posición en el escenario
60_preguntas_realizacion_asist	49	06	La prolepsis en un medio audiovisual
60_preguntas_realizacion_asist	51	06	Qué es una secuencia mecánica
60_preguntas_realizacion_asist	56	06	Punto de vista que transmite vulnerabilidad
60_preguntas_realizacion_asist	74	06	Qué es un plano nadir
60_preguntas_realizacion_asist	92	06	Escenas discontinuas: cuándo son posibles
60_preguntas_realizacion_asist	100	06	El narrador homodiegético
60_preguntas_realizacion_asist	101	06	Plano que genera conexión emocional con el personaje
60_preguntas_realizacion_asist	106	06	Factores que dan mayor peso visual
62_preguntas_realizacion_asist_2_llamamiento	2	06	La ley del semicírculo o de los 180 grados
62_preguntas_realizacion_asist_2_llamamiento	9	06	Cuándo comunica mejor el testimonio a cámara
62_preguntas_realizacion_asist_2_llamamiento	10	06	Precaución del eje en un decorado circular a multicámara
62_preguntas_realizacion_asist_2_llamamiento	26	06	Función del plano secuencia
62_preguntas_realizacion_asist_2_llamamiento	27	06	Plano y contraplano: aspecto técnico y narrativo
62_preguntas_realizacion_asist_2_llamamiento	34	06	Orden de montaje de nueve planos sin saltarse el eje
62_preguntas_realizacion_asist_2_llamamiento	60	06	Cómo pasar el eje de acción manteniendo la coherencia
62_preguntas_realizacion_asist_2_llamamiento	79	06	Ejes de mirada en una conversación entre cinco personas
62_preguntas_realizacion_asist_2_llamamiento	80	06	El fragmento de acción en una unidad de tiempo y espacio
60_preguntas_realizacion_asist	16	07	Qué es el número T de un objetivo
60_preguntas_realizacion_asist	30	07	Evitar el efecto moiré con pantallas led: profundidad de campo y ópticas
60_preguntas_realizacion_asist	47	07	Cuándo aumenta la profundidad de campo
60_preguntas_realizacion_asist	58	07	Qué define la captura RAW
60_preguntas_realizacion_asist	76	07	El factor de ampliación
62_preguntas_realizacion_asist_2_llamamiento	1	07	Objetivo adecuado para la cámara máster de un partido de fútbol
62_preguntas_realizacion_asist_2_llamamiento	18	07	Objetivo de distancia focal menor que la diagonal del formato
62_preguntas_realizacion_asist_2_llamamiento	19	07	El círculo de confusión
62_preguntas_realizacion_asist_2_llamamiento	53	07	Luz que entra al pasar de f/1.4 a f/22
62_preguntas_realizacion_asist_2_llamamiento	58	07	Qué significa 20x en un objetivo
62_preguntas_realizacion_asist_2_llamamiento	72	07	Grupo de objetivos con distancia focal menor que la diagonal
62_preguntas_realizacion_asist_2_llamamiento	119	07	Formato de sensor con el bokeh más pronunciado
60_preguntas_realizacion_asist	21	08	Dispositivo para ajustar la temperatura de color de la luz
60_preguntas_realizacion_asist	44	08	Qué es un contraluz (back light)
60_preguntas_realizacion_asist	52	08	La luz llave: posición frontal y cruzada
60_preguntas_realizacion_asist	67	08	Foco con reflector y lámpara en el mismo bloque
60_preguntas_realizacion_asist	69	08	Cómo disminuir el contraste de iluminación
60_preguntas_realizacion_asist	71	08	Qué es un filtro CTO
60_preguntas_realizacion_asist	72	08	Bastidor de alambre cubierto de tela negra: la bandera
60_preguntas_realizacion_asist	91	08	Temperatura de color de la luz día en la escala Kelvin
60_preguntas_realizacion_asist	104	08	Longitud de onda de una lámpara de luz negra
60_preguntas_realizacion_asist	2	09	Efectos, ráfagas y fondos musicales: la ambientación sonora
60_preguntas_realizacion_asist	6	09	El backline en una actuación musical
60_preguntas_realizacion_asist	17	09	Frecuencia a partir de la cual un sonido es ultrasonido
60_preguntas_realizacion_asist	23	09	Ecualización para una voz en off más cálida
60_preguntas_realizacion_asist	48	09	Aparato que mide el nivel de presión sonora
60_preguntas_realizacion_asist	54	09	Qué es un sonido Foley
60_preguntas_realizacion_asist	66	09	Cualidad que distingue instrumentos con la misma frecuencia
60_preguntas_realizacion_asist	73	09	Técnica de grabación estéreo con dos micrófonos omnidireccionales
60_preguntas_realizacion_asist	97	09	El tono a nivel cero
62_preguntas_realizacion_asist_2_llamamiento	3	09	Pista internacional de un documental para su venta en el extranjero
62_preguntas_realizacion_asist_2_llamamiento	33	09	La señal N-1 de un retorno de audio
62_preguntas_realizacion_asist_2_llamamiento	76	09	Para qué es necesaria la alimentación phantom
62_preguntas_realizacion_asist_2_llamamiento	84	09	Códec de audio sin compresión
60_preguntas_realizacion_asist	14	10	El Ultimatte y el mezclador de vídeo
60_preguntas_realizacion_asist	32	10	Key de luminancia en autoselect y nivel de negros del fill
60_preguntas_realizacion_asist	36	10	El corner pinning en un canal DVE
60_preguntas_realizacion_asist	45	10	La salida CLEAN del mezclador
60_preguntas_realizacion_asist	50	10	Superposición de ventanas: el PinP
60_preguntas_realizacion_asist	57	10	El término source en un mezclador
60_preguntas_realizacion_asist	59	10	Corrección de color a las pantallas de un plató por bus auxiliar
60_preguntas_realizacion_asist	60	10	Snapshot, pausa, transición y key: qué es esa secuencia
60_preguntas_realizacion_asist	113	10	Cuál no es un tipo de key
60_preguntas_realizacion_asist	114	10	El show key
60_preguntas_realizacion_asist	116	10	Parámetros del DVE que corresponden a una posición
60_preguntas_realizacion_asist	117	10	Orden de las transiciones mix, súper mix, NAM y wipe
60_preguntas_realizacion_asist	118	10	Qué se ve al usar FAM entre dos imágenes
60_preguntas_realizacion_asist	119	10	Clip y ganancia en una incrustación de luminancia
62_preguntas_realizacion_asist_2_llamamiento	30	10	Logotipo precortado o premultiplicado y su señal de key
62_preguntas_realizacion_asist_2_llamamiento	32	10	Bus de edit previo en un mezclador Sony de la serie XVS
62_preguntas_realizacion_asist_2_llamamiento	35	10	Key de luminancia lineal con canal alfa acoplado
62_preguntas_realizacion_asist_2_llamamiento	38	10	Mezclas y cortinillas en los buses auxiliares
62_preguntas_realizacion_asist_2_llamamiento	39	10	Tipo de key cuando la señal de key no cubre todo el fill
62_preguntas_realizacion_asist_2_llamamiento	49	10	Qué es el panel de control del mezclador
62_preguntas_realizacion_asist_2_llamamiento	51	10	Recuperar el estado del mezclador de forma inmediata
62_preguntas_realizacion_asist_2_llamamiento	62	10	Cuántos bancos de mezcla efectos tiene el mezclador de la imagen
62_preguntas_realizacion_asist_2_llamamiento	65	10	Dónde se asigna la fuente de un key
62_preguntas_realizacion_asist_2_llamamiento	69	10	Ampliar una imagen conservando proporciones en el DVE
62_preguntas_realizacion_asist_2_llamamiento	74	10	Controlar un EVS desde el mezclador: la GPI
62_preguntas_realizacion_asist_2_llamamiento	75	10	Con qué se aplican transiciones y combinaciones complejas
62_preguntas_realizacion_asist_2_llamamiento	91	10	Qué activa las cortinillas en el módulo de transiciones
62_preguntas_realizacion_asist_2_llamamiento	108	10	Qué ocurre al pulsar Auto según la imagen
62_preguntas_realizacion_asist_2_llamamiento	109	10	El término source en un mezclador
62_preguntas_realizacion_asist_2_llamamiento	110	10	Transición con un borde con forma que revela la nueva imagen
62_preguntas_realizacion_asist_2_llamamiento	111	10	Snapshot, pausa, transición y key: qué es esa secuencia
62_preguntas_realizacion_asist_2_llamamiento	112	10	Señales implicadas en un self key
62_preguntas_realizacion_asist_2_llamamiento	113	10	Cuál no es un tipo de key
62_preguntas_realizacion_asist_2_llamamiento	114	10	El show key
62_preguntas_realizacion_asist_2_llamamiento	115	10	Secuencia en el Sony XVS 7000
60_preguntas_realizacion_asist	65	11	Dónde se conectan las señales de cámara antes de la CCU
62_preguntas_realizacion_asist_2_llamamiento	41	11	Reparto de siete cámaras en un plató con tres sets
62_preguntas_realizacion_asist_2_llamamiento	45	11	Qué es el tally
62_preguntas_realizacion_asist_2_llamamiento	47	11	Qué es la unidad de control de cámaras (CCU)
62_preguntas_realizacion_asist_2_llamamiento	70	11	La señal de retorno enviada desde el mezclador a la cámara
62_preguntas_realizacion_asist_2_llamamiento	81	11	A qué cámaras se enciende el piloto al hacer ventanas
62_preguntas_realizacion_asist_2_llamamiento	86	11	Cómo debe ser la estructura de un estudio de televisión
62_preguntas_realizacion_asist_2_llamamiento	92	11	Qué es un plató
60_preguntas_realizacion_asist	4	12	Qué se entiende por PEL
60_preguntas_realizacion_asist	35	14	Directo desde un estudio con una señal exterior en el programa
60_preguntas_realizacion_asist	39	14	Qué es la señal pool de un evento
60_preguntas_realizacion_asist	53	14	Qué es el downlink
62_preguntas_realizacion_asist_2_llamamiento	6	14	Qué es la señal pool de un evento
60_preguntas_realizacion_asist	8	15	Funciones que no se hacen con un disco duro EVS
60_preguntas_realizacion_asist	31	15	Señal a las pantallas del pabellón sin repeticiones ni vídeos
60_preguntas_realizacion_asist	33	15	Retardo de cuatro frames de las pantallas led del decorado
62_preguntas_realizacion_asist_2_llamamiento	13	15	Área donde se incrusta la identidad corporativa de la cadena
62_preguntas_realizacion_asist_2_llamamiento	31	15	Qué está obligado a guardar el Archivo de RTVE
62_preguntas_realizacion_asist_2_llamamiento	42	15	Software que no permite creación y distribución de contenidos en vivo
60_preguntas_realizacion_asist	34	16	Retardo de dos frames de la realidad aumentada frente a cámaras sin ella
60_preguntas_realizacion_asist	46	16	El sistema free-d en escenografía virtual
60_preguntas_realizacion_asist	78	16	Empalmar las imágenes de una toma de 360 grados
60_preguntas_realizacion_asist	98	16	Qué es Unreal Engine
62_preguntas_realizacion_asist_2_llamamiento	25	16	Videoconferencia internacional con varios participantes
62_preguntas_realizacion_asist_2_llamamiento	37	16	Incrustación realista en un decorado virtual
62_preguntas_realizacion_asist_2_llamamiento	44	16	Tipo de streaming adecuado para el directo
62_preguntas_realizacion_asist_2_llamamiento	48	16	Qué es el streaming
62_preguntas_realizacion_asist_2_llamamiento	73	16	El plate en efectos visuales
60_preguntas_realizacion_asist	22	17	Qué hacer si el presentador se queda en silencio en directo
60_preguntas_realizacion_asist	103	17	Software que sincroniza cámaras, efectos, luz, audio y gráficos
62_preguntas_realizacion_asist_2_llamamiento	63	17	Quién organiza las entradas y salidas del personal colaborador
62_preguntas_realizacion_asist_2_llamamiento	68	17	Tarea esencial de la regidora en una transmisión en vivo
60_preguntas_realizacion_asist	68	18	Qué es un CMS o gestor de contenidos
62_preguntas_realizacion_asist_2_llamamiento	4	18	Qué es un ID
62_preguntas_realizacion_asist_2_llamamiento	5	18	Qué entendemos por FTP
62_preguntas_realizacion_asist_2_llamamiento	50	18	La técnica Juxtapose en narrativas interactivas
62_preguntas_realizacion_asist_2_llamamiento	82	18	El vídeo interactivo y la intervención del espectador
60_preguntas_realizacion_asist	15	19	Enfrentarse a la cámara sin nerviosismo
60_preguntas_realizacion_asist	115	19	Problemas de los colores fuertes del vestuario
62_preguntas_realizacion_asist_2_llamamiento	43	19	Qué es un ciclorama
62_preguntas_realizacion_asist_2_llamamiento	67	19	Qué es un decorado combinado
62_preguntas_realizacion_asist_2_llamamiento	78	19	Elemento que eleva la línea del horizonte y oculta equipos
62_preguntas_realizacion_asist_2_llamamiento	120	19	De qué color deben ser los cicloramas
60_preguntas_realizacion_asist	1	20	Cuál no es un formato de vídeo
60_preguntas_realizacion_asist	25	20	El formato XDCAM en los flujos de trabajo
60_preguntas_realizacion_asist	29	20	Edición lineal frente a edición no lineal
60_preguntas_realizacion_asist	38	20	Archivo gráfico que nunca tiene canal alfa
60_preguntas_realizacion_asist	43	20	Transcribir el audio de un clip con inteligencia artificial
60_preguntas_realizacion_asist	55	20	Qué es el montaje alternado
60_preguntas_realizacion_asist	96	20	Qué es un formato contenedor
60_preguntas_realizacion_asist	102	20	Usos de una LUT en producción audiovisual
62_preguntas_realizacion_asist_2_llamamiento	8	20	Qué es hacer render
62_preguntas_realizacion_asist_2_llamamiento	11	20	Quién inventó el montaje por atracción
62_preguntas_realizacion_asist_2_llamamiento	14	20	Qué es el cross cutting
62_preguntas_realizacion_asist_2_llamamiento	15	20	Qué es el etalonaje
62_preguntas_realizacion_asist_2_llamamiento	16	20	Clases de montaje según la idea o el significado
62_preguntas_realizacion_asist_2_llamamiento	23	20	Keyframes y curva de velocidad en una animación
62_preguntas_realizacion_asist_2_llamamiento	40	20	Para qué sirve una LUT 3D
62_preguntas_realizacion_asist_2_llamamiento	46	20	Qué es un formato de codificación
62_preguntas_realizacion_asist_2_llamamiento	56	20	Montaje de acciones con coincidencia temporal y no espacial
62_preguntas_realizacion_asist_2_llamamiento	57	20	Bits de un archivo TGA con canal alfa
62_preguntas_realizacion_asist_2_llamamiento	116	20	Entidad de gestión de derechos de autor: no está en el Anexo 2 de esta ocupación
60_preguntas_realizacion_asist	61	21	Fatiga visual con pantallas de visualización según la guía del RD 488/1997
62_preguntas_realizacion_asist_2_llamamiento	52	21	Prevención de las fatigas por trabajo prolongado con pantallas
62_preguntas_realizacion_asist_2_llamamiento	107	21	Fatiga visual con pantallas de visualización según la guía del RD 488/1997
